province,sector_code,sector_name,total_output,BL,FL,VL,year
北京,01,农林牧渔产品和服务,14728348.341031589,0.5980274961301467,0.0680474941695326,0.33303749514983966,2015
北京,02,煤炭采选产品,5706945.357824802,0.5327293295847982,0.0887623064597557,0.31074581802227697,2015
北京,03,石油和天然气开采产品,2.092815969602698e-09,4.013730840172568e-16,5.2844224373724236e-17,2.271086541954905e-16,2015
北京,04,金属矿采选产品,2970521.156837212,0.5043141262684636,0.011731846268911533,0.2580229862686876,2015
北京,05,非金属矿和其他矿采选产品,7347886.647847667,0.6172304135653788,0.02780877655181042,0.3225195950585946,2015
北京,06,食品和烟草,30877543.676663447,0.537151642501187,0.07170144445416478,0.3044265434776759,2015
北京,07,纺织品,529105.4800492025,0.5350081438100127,0.014369307381801123,0.2746887255959069,2015
北京,08,纺织服装鞋帽皮革羽绒及其制品,5210331.872470487,0.6003330277025558,0.00667337996396476,0.3035032038332603,2015
北京,09,木材加工品和家具,4148118.2223759145,0.5531459169379893,0.02892998556126048,0.2910379512496249,2015
北京,10,造纸印刷和文教体育用品,11315862.7463633,0.55601812643402,0.05748112562808553,0.30674962603105277,2015
北京,11,石油、炼焦产品和核燃料加工品,25282829.601678833,0.5881200984361763,0.09649375164737288,0.34230692504177457,2015
北京,12,化学产品,45844238.694582954,0.5682798754826778,0.22829721844877934,0.3982885469657286,2015
北京,13,非金属矿物制品,15649799.39399127,0.5359229375179947,0.034956241869221645,0.28543958969360816,2015
北京,14,金属冶炼和压延加工品,6597984.063361267,0.5096004208073333,0.039979980969909554,0.2747902008886214,2015
北京,15,金属制品,12290105.56387031,0.5526073051977005,0.03920716950712554,0.29590723735241303,2015
北京,16,通用设备,20134293.256700464,0.5540736316049549,0.08647322271274678,0.3202734271588509,2015
北京,17,专用设备,19024592.856807437,0.5599231376981938,0.06495504009160609,0.31243908889489996,2015
北京,18,交通运输设备,152185151.79159537,0.5497385523396028,0.2783307505158262,0.41403465142771445,2015
北京,19,电气机械和器材,27460561.105866447,0.5427305075178933,0.07971267328493835,0.31122159040141584,2015
北京,20,通信设备、计算机和其他电子设备,71083618.43441361,0.5293703575898825,0.21758743210948447,0.3734788948496835,2015
北京,21,仪器仪表,8651344.206108883,0.5664333538788027,0.03156319277083857,0.2989982733248206,2015
北京,22,其他制造产品,3504746.25938321,0.5770651853145973,0.02272478397775054,0.2998949846461739,2015
北京,23,废品废料,228118.71475565986,0.5228141987245808,0.0029366383387034118,0.2628754185316421,2015
北京,24,金属制品、机械和设备修理服务,2434226.5447740555,0.6388795017538186,0.01820081788546901,0.3285401598196438,2015
北京,25,电力、热力的生产和供应,163224341.22961226,0.5349138984701093,0.5719421926051855,0.5534280455376475,2015
北京,26,燃气生产和供应,15749064.912207926,0.5284599227251517,0.12746502423402908,0.3279624734795904,2015
北京,27,水的生产和供应,3141104.7141575376,0.6137682754837529,0.017451539085336448,0.3156099072845447,2015
北京,28,建筑,221892883.35319299,0.5433502439229465,0.06583980435751702,0.30459502414023176,2015
北京,29,批发和零售,171417910.59519458,0.6308547929787401,0.3945013383313847,0.5126780656550625,2015
北京,30,交通运输、仓储和邮政,145011765.2326163,0.5622540991024995,0.3508845018187677,0.4565693004606336,2015
北京,31,住宿和餐饮,40595956.081990644,0.5752688365268723,0.07652782846907719,0.32589833249797473,2015
北京,32,信息传输、软件和信息技术服务,182537055.426079,0.6187901180548396,0.11200236445998334,0.3653962412574115,2015
北京,33,金融,260159304.37034437,0.673464214927484,0.536177035919835,0.6048206254236594,2015
北京,34,房地产,126699284.14025249,0.642716222047093,0.11629895649690877,0.3795075892720009,2015
北京,35,租赁和商务服务,150351174.6960715,0.6015823375890992,0.34674718488350886,0.474164761236304,2015
北京,36,科学研究和技术服务,252648497.51703575,0.5759824888816758,0.35739904010274826,0.46669076449221203,2015
北京,37,水利、环境和公共设施管理,25173926.49012933,0.5697800862036166,0.09081422133087756,0.3302971537672471,2015
北京,38,居民服务、修理和其他服务,11729973.253095407,0.6050009056263932,0.03226645518254053,0.3186336804044669,2015
北京,39,教育,66553497.07935574,0.6630029962599293,0.05706067590671014,0.36003183608331973,2015
北京,40,卫生和社会工作,85986598.79635535,0.5811757257499042,0.010216082834201933,0.29569590429205306,2015
北京,41,文化、体育和娱乐,44750569.860465735,0.592689026321665,0.0784616555140381,0.3355753409178515,2015
北京,42,公共管理、社会保障和社会组织,79978970.81464134,0.5935306532125546,0.012411945922542085,0.30297129956754837,2015
天津,01,农林牧渔产品和服务,18698507.123269215,0.6136564948180233,0.10816096261025435,0.3609087287141388,2015
天津,02,煤炭采选产品,29356444.993400104,0.5335335688231218,0.16146926223641814,0.34750141552976993,2015
天津,03,石油和天然气开采产品,30992203.846266795,0.637933187342972,0.19805578752857186,0.41799448743577194,2015
天津,04,金属矿采选产品,17855400.79901896,0.594848028732788,0.07386817731229965,0.3343581030225438,2015
天津,05,非金属矿和其他矿采选产品,3632367.352241903,0.6964647584300905,0.014741084929791093,0.3556029216799408,2015
